Sacred Broadsword	Broadsword
Poets Fencing Quill	Poet's Fencing Quill
Pointed Rabbitslayer	Pointed Rabbitslayer
Poison Dagger	Poison Dagger
Rapier	Rapier
Ripper Sabre	Ripper Sabre
Ritual Bone Knife	Ritual Bone Knife
Sabre	Sabre
Scimitar	Scimitar
Short Sword	Short Sword
Silver Dagger	Silver Dagger
Spike Sword	Spike Sword
Sword	Sword
Templar Scytheblade	Templar Scytheblade
Test Weapon For Knights	Test Weapon for Knights
Valuable Carving Blade	Valuable Carving Blade
Valuable Carving Slayer	Valuable Carving Slayer
Valuable Mayhem Blade	Valuable Mayhem Blade
Valuable Mayhem Slayer	Valuable Mayhem Slayer
Valuable Remedy Blade	Valuable Remedy Blade
Valuable Remedy Slayer	Valuable Remedy Slayer
Wooden Sword	Wooden Sword
Ratana	Ratana
Crimson Sword	Crimson Sword
Twin Hooks	Twin Hooks
Two Handed Sword	Two Handed Sword
Cowtana	Cowtana
Crystal Sword	Crystal Sword
Wyvern Fang	Wyvern Fang
Ember Blade	Ember Blade
Epee	Epee
Haunted Blade	Haunted Blade
Radiant Blade	Radiant Blade
Blacksteel Sword	Blacksteel Sword
Djinn Blade	Djinn Blade
Assassin Dagger	Assassin Dagger
Glimmer Sword	Glimmer Sword
Mercenary Sword	Mercenary Sword
Pharaoh Sword	Pharaoh Sword
Wyrm Slayer	Wyrm Slayer
Relic Sword	Relic Sword
Royal Sword	Royal Sword
Bloody Edge	Bloody Edge
Colossus Blade	Colossus Blade
Vanquisher Blade	Vanquisher Blade
Twiceslicer	Twiceslicer
Fiendrage Sword	Fiendrage Sword
Mystic Blade	Mystic Blade
Crystalline Sword	Crystalline Sword
Berserker	Berserker
Runed Sword	Runed Sword
Dread Blade	Dread Blade
Ruin Blade	Ruin Blade
Crude Gloomforged Blade	Crude Gloomforged Blade
Crude Gloomforged Slayer	Crude Gloomforged Slayer
Justice Seeker	Justice Seeker
Steamwork Blade	Steamwork Blade
Vengeance Blade	Vengeance Blade
Arcane Blade	Arcane Blade
Blade Of Corruption	Blade of Corruption
Calamity Edge	Calamity Edge
Emerald Sword	Emerald Sword
Epiphany Blade	Epiphany Blade
Gloomforged Blade	Gloomforged Blade
Gloomforged Slayer	Gloomforged Slayer
Shiny Blade	Shiny Blade
Warlord Sword	Warlord Sword
Enchanted Longsword	Enchanted Longsword
Igniter Spear	Igniter Spear
Blade Of Ruin	Blade of Ruin
Slayer Of Ruin	Slayer of Ruin
Summerblade	Summerblade
Winterblade	Winterblade
Asp Sword	Asp Sword
Gloomforged Master Slayer	Gloomforged Master Slayer
Gloomforged Masterblade	Gloomforged Masterblade
Tagralt Blade	Tagralt Blade
Tinker Sword	Tinker Sword
Gilded Occult Claymore	Gilded Occult Claymore
Mane Longsword	Mane Longsword
Occult Claymore	Occult Claymore
Abyssal Blade	Abyssal Blade
Abyssal Slayer	Abyssal Slayer
Coil Sword	Coil Sword
Draining Abyssal Blade	Draining Abyssal Blade
Draining Abyssal Slayer	Draining Abyssal Slayer
Raptorial Longsword	Raptorial Longsword
Rending Abyssal Blade	Rending Abyssal Blade
Rending Abyssal Slayer	Rending Abyssal Slayer
Siphoning Abyssal Blade	Siphoning Abyssal Blade
Siphoning Abyssal Slayer	Siphoning Abyssal Slayer
Amber Sabre	Amber Sabre
Amber Slayer	Amber Slayer
Spirit Cutter	Spirit Cutter
Spirit Shredder	Spirit Shredder
Crypt Slicer	Crypt Slicer
Crimson Blade	Crimson Blade
Crimson Razor	Crimson Razor
Grand Crimson Blade	Grand Crimson Blade
Grand Crimson Razor	Grand Crimson Razor
Plain Carving Rod	Plain Carving Rod
Plain Carving Wand	Plain Carving Wand
Plain Mayhem Rod	Plain Mayhem Rod
Plain Mayhem Wand	Plain Mayhem Wand
Plain Remedy Rod	Plain Remedy Rod
Plain Remedy Wand	Plain Remedy Wand
Scorcher Wand	Scorcher Wand
Valuable Carving Rod	Valuable Carving Rod
Ember Wand	Ember Wand
Frostbite Wand	Frostbite Wand
Valuable Carving Wand	Valuable Carving Wand
Valuable Mayhem Rod	Valuable Mayhem Rod
Valuable Mayhem Wand	Valuable Mayhem Wand
Valuable Remedy Rod	Valuable Remedy Rod
Valuable Remedy Wand	Valuable Remedy Wand
Wand Of Ruin Test	Wand of Ruin Test
Viperfang Rod	Viperfang Rod
Wand Of Vortex	Wand of Vortex
Lunar Rod	Lunar Rod
Wand Of Dragonbreath	Wand of Dragonbreath
Wand Of Decay	Wand of Decay
Withering Rod	Withering Rod
Boreal Rod	Boreal Rod
Wand Of Draconia	Wand of Draconia
Earthbound Rod	Earthbound Rod
Wand Of Cosmic Energy	Wand of Cosmic Energy
Hailburst Rod	Hailburst Rod
Wand Of Inferno	Wand of Inferno
Bloomshoot Rod	Bloomshoot Rod
Ogre Scepta	Ogre Scepta
Wand Of Dimensions	Wand of Dimensions
Wand Of Starstorm	Wand of Starstorm
Glimmer Rod	Glimmer Rod
Glimmer Wand	Glimmer Wand
Wand Of Darkness	Wand of Darkness
Nether Rod	Nether Rod
Wand Of Voodoo	Wand of Voodoo
Archmage S Staff Failed	Archmage's Staff (Failed)
Glacial Rod	Glacial Rod
Muck Rod	Muck Rod
Wand Of Defiance	Wand of Defiance
Wand Of Everblazing	Wand of Everblazing
Dream Blossom Staff	Dream Blossom Staff
Archmage S Staff Enchanted	Archmage's Staff (Enchanted)
Jungle Rod	Jungle Rod
Jungle Wand	Jungle Wand
Deepsea Ceremonial Dagger	Deepsea Ceremonial Dagger
Energized Limb	Energized Limb
Rod Of Ruin	Rod of Ruin
Wand Of Ruin	Wand of Ruin
Asp Rod	Asp Rod
Mane Wand	Mane Wand
Deepsea Fork	Deepsea Fork
Coil Rod	Coil Rod
Coil Wand	Coil Wand
Gilded Occult Rod	Gilded Occult Rod
Gilded Occult Wand	Gilded Occult Wand
Occult Rod	Occult Rod
Occult Wand	Occult Wand
Asp Wand	Asp Wand
Mane Rod	Mane Rod
Abyssal Rod	Abyssal Rod
Abyssal Wand	Abyssal Wand
Draining Abyssal Rod	Draining Abyssal Rod
Draining Abyssal Wand	Draining Abyssal Wand
Raptorial Rod	Raptorial Rod
Raptorial Wand	Raptorial Wand
Rending Abyssal Rod	Rending Abyssal Rod
Rending Abyssal Wand	Rending Abyssal Wand
Siphoning Abyssal Rod	Siphoning Abyssal Rod
Siphoning Abyssal Wand	Siphoning Abyssal Wand
Amber Rod	Amber Rod
Amber Wand	Amber Wand
Spirit Hexer	Spirit Hexer
Spirittainter	Spirittainter
Crypt Bile	Crypt Bile
Crypt Jaw	Crypt Jaw
Crimson Coil	Crimson Coil
Crimson Rod	Crimson Rod
Grand Crimson Coil	Grand Crimson Coil
Grand Crimson Rod	Grand Crimson Rod
Fiendish Shield	Fiendish Shield
Golden Divine Shield	Golden Divine Shield
Gorgon Shield	Gorgon Shield
Grandmaster Shield	Grandmaster Shield
Dread Shield	Dread Shield
Divine Shield	Divine Shield
Dark Shield	Dark Shield
Dark Wizards Crown	Dark Wizard's Crown
Dark Wizards Crown Activated	Dark Wizard's Crown (Activated)
Devil Helmet	Devil Helmet
Dwarven Helmet	Dwarven Helmet
Earthbound Hood	Earthbound Hood
Emberbound Monocle	Emberbound Monocle
End Days Visage	End Days Visage
Epic Wisdom Cap	Epic Wisdom Cap
Feather Headdress	Feather Headdress
Fiendish Helmet	Fiendish Helmet
Flower Wreath	Flower Wreath
Frostbound Mask	Frostbound Mask
Fur Cap	Fur Cap
Gilded Royal Helm	Gilded Royal Helm
Golden Crown	Golden Crown
Golden Horned Helmet	Golden Horned Helmet
Dwarven Shield	Dwarven Shield
Eagle Shield	Eagle Shield
Eerie Song Book	Eerie Song Book
Gourd	Gourd
Great Shield	Great Shield
Griffin Shield	Griffin Shield
Guardian Shield	Guardian Shield
Haunted Mirror Piece	Haunted Mirror Piece
Journal Shield	Journal Shield
Mathmaster Shield	Mathmaster Shield
Mathmaster Shield Replica	Mathmaster Shield (Replica)
Meat Shield	Meat Shield
Mino Shield	Mino Shield
Necromancer Shield	Necromancer Shield
Nevermourn Shield	Nevermourn Shield
Norse Shield	Norse Shield
Oak Shield	Oak Shield
Oculus Shield	Oculus Shield
Ornamented Shield	Ornamented Shield
Painted Gourd Rattle	Painted Gourd Rattle
Phoenix Shield	Phoenix Shield
Plate Shield	Plate Shield
Rattling Gourd	Rattling Gourd
Rose Shield	Rose Shield
Runic Ice Shield	Runic Ice Shield
Salamander Shield	Salamander Shield
Scarab Shield	Scarab Shield
Sentinel Shield	Sentinel Shield
Shield Of Care	Shield of Care
Shield Of Destiny	Shield of Destiny
Shield Of Destiny Activated	Shield of Destiny (Activated)
Shield Of Endless Search	Shield of Endless Search
Shield Of Honour	Shield of Honour
Silver Chimes	Silver Chimes
Spike Shield	Spike Shield
Steel Shield	Steel Shield
Strange Good Night Songs	Strange Good Night Songs
Studded Shield	Studded Shield
Tempest Shield	Tempest Shield
Tortoise Shield	Tortoise Shield
Tower Shield	Tower Shield
Traditional Stein	Traditional Stein
Tusk Shield	Tusk Shield
Valkyrie Shield	Valkyrie Shield
Viking Shield	Viking Shield
Warriors Shield	Warrior's Shield
White Knight Shield	White Knight Shield
Wyrm Shield	Wyrm Shield
Shield Of Corruption	Shield of Corruption
Fiery Rainbow Shield	Fiery Rainbow Shield
Icy Rainbow Shield	Icy Rainbow Shield
Rainbow Shield	Rainbow Shield
Sparking Rainbow Shield	Sparking Rainbow Shield
Terran Rainbow Shield	Terran Rainbow Shield
Trench Scutum	Trench Scutum
Chiseled Shield	Chiseled Shield
Demon Overlords Mask	Demon Overlord's Mask
Iridescent Shield	Iridescent Shield
Ectoplasmic Shield	Ectoplasmic Shield
Biscuit Barrier	Biscuit Barrier
Death Gaze	Death Gaze
Tinker Shield	Tinker Shield
Mane Shield	Mane Shield
Occult Shield	Occult Shield
Raptorial Escutcheon	Raptorial Escutcheon
Raptorial Shield	Raptorial Shield
Spirit Bastion	Spirit Bastion
Demon Overlords Extract	Demon Overlord's Extract
Devourer Core	Devourer Core
Filled Receptacle	Filled Receptacle
Fire Bowl	Fire Bowl
Frozen Starlight	Frozen Starlight
Ghostsilver Lantern	Ghostsilver Lantern
Ghostsilver Lantern Unlit	Ghostsilver Lantern (Unlit)
Glass Of Goo	Glass of Goo
Glimmer Glower	Glimmer Glower
Glowing Mushroom	Glowing Mushroom
Golden Bell	Golden Bell
Green Fiendish Greaves	Green Fiendish Greaves
Green Fiendish Helmet	Green Fiendish Helmet
Gryphon Mask	Gryphon Mask
Helmet Of Nature	Helmet of Nature
Helmet Of Ultimate Terror	Helmet of Ultimate Terror
Horned Helmet	Horned Helmet
Horseman Helmet	Horseman Helmet
Incandescent Crown	Incandescent Crown
Iron Crown	Iron Crown
Iron Helmet	Iron Helmet
Jester Hat	Jester Hat
Krimhorn Helmet	Krimhorn Helmet
Laurel Wreath	Laurel Wreath
Leaf Crown	Leaf Crown
Leather Helmet	Leather Helmet
Legion Helmet	Legion Helmet
Light Bandana	Light Bandana
Lost Wanderer Helm	Lost Wanderer Helm
Madcap Hat	Madcap Hat
Mage Hat	Mage Hat
Mages Cap	Mage's Cap
Magician Hat	Magician Hat
Mighty Helm Of Green Sparks	Mighty Helm of Green Sparks
Mining Helmet	Mining Helmet
Mystic Turban	Mystic Turban
Oculus Helmet	Oculus Helmet
Odd Hat	Odd Hat
Pair Of Earmuffs	Pair of Earmuffs
Party Hat	Party Hat
Pirate Hat	Pirate Hat
Porcelain Mask	Porcelain Mask
Post Officers Hat	Post Officer's Hat
Ragnir Helmet	Ragnir Helmet
Reflecting Crown	Reflecting Crown
Royal Helmet	Royal Helmet
Rusty Winged Helmet	Rusty Winged Helmet
Santa Hat	Santa Hat
Sedge Hat	Sedge Hat
Sensing Crown	Sensing Crown
Shamanic Mask	Shamanic Mask
Silver Mask	Silver Mask
Skull Helmet	Skull Helmet
Soldier Helmet	Soldier Helmet
Spooky Hood	Spooky Hood
Steel Casque	Steel Casque
Steel Helm	Steel Helm
Stormbound Headband	Stormbound Headband
Strange Helmet	Strange Helmet
Studded Helmet	Studded Helmet
Tribal Mask	Tribal Mask
Valkyrie Helmet	Valkyrie Helmet
Viking Helmet	Viking Helmet
Warlord Helmet	Warlord Helmet
Warrior Helmet	Warrior Helmet
Winged Helmet	Winged Helmet
Witch Hat	Witch Hat
Wood Cape	Wood Cape
Wyrm Scale Helmet	Wyrm Scale Helmet
Yule Queen Crown Fire	Yule Queen Crown (Fire)
Yule Queen Crown Ice	Yule Queen Crown (Ice)
Batwing Hat	Batwing Hat
Jade Hat	Jade Hat
Coned Hat Of Enlightenment	Coned Hat of Enlightenment
Rubber Cap	Rubber Cap
Arcane Sovereign Mask	Arcane Sovereign Mask
Deep Sea Crest	Deep Sea Crest
Elite Draconic Helmet	Elite Draconic Helmet
Enchanted Werewolf Helmet Axe	Enchanted Werewolf Helmet (Axe)
Enchanted Werewolf Helmet Club	Enchanted Werewolf Helmet (Club)
Enchanted Werewolf Helmet Distance	Enchanted Werewolf Helmet (Distance)
Enchanted Werewolf Helmet Magic	Enchanted Werewolf Helmet (Magic)
Enchanted Werewolf Helmet Sword	Enchanted Werewolf Helmet (Sword)
Tiara Of Power	Tiara of Power
Werewolf Helmet	Werewolf Helmet
Jade Conical Hat	Jade Conical Hat
Coral Gugel	Coral Gugel
Iridescent Helmet	Iridescent Helmet
Shroud Of Despair	Shroud of Despair
Trench Galea	Trench Galea
Dark Vision Bandana	Dark Vision Bandana
Dark Whispers	Dark Whispers
Tinker Helmet	Tinker Helmet
Galea Mortis	Galea Mortis
Earthbound Helmet	Earthbound Helmet
Mane Spangenhelm	Mane Spangenhelm
Vampiric Bonehood	Vampiric Bonehood
Antler Horn Helmet	Antler-Horn Helmet
Occult Cowl	Occult Cowl
Occult Hood	Occult Hood
Stoic Tribal Casque	Stoic Tribal Casque
Stoic Tribal Headpiece	Stoic Tribal Headpiece
Asp Hood	Asp Hood
Vampiric Skullguard	Vampiric Skullguard
Dreadfire Headpiece	Dreadfire Headpiece
Fiendfang Mask	Fiendfang Mask
Fiendish Mengu	Fiendish Mengu
Hellstalker Visor	Hellstalker Visor
Maliceforged Helmet	Maliceforged Helmet
Raptorial Circlet	Raptorial Circlet
Raptorial Coif	Raptorial Coif
Antler Helmet	Antler Helmet
Briarheart Helmet	Briarheart Helmet
Ethereal Coned Hat	Ethereal Coned Hat
Spellbinder Regalia	Spellbinder Regalia
Unicorn Headguard	Unicorn Headguard
Verdant Crown	Verdant Crown
Green Light	Green Light
Green Pit Fiend	Green Pit Fiend
Guardian Legs	Guardian Legs
Icy Culottes	Icy Culottes
Imbuing Crystal	Imbuing Crystal
Ink Blade	Ink Blade
Jade Warlord Bishop	Jade Warlord Bishop
Jade Warlord King	Jade Warlord King
Leaf Legs	Leaf Legs
Leather Legs	Leather Legs
Lederhosen	Lederhosen
Pirate Knee Breeches	Pirate Knee Breeches
Plate Legs	Plate Legs
Ranger Legs	Ranger Legs
Steel Greaves	Steel Greaves
Studded Legs	Studded Legs
Wereboar Loincloth	Wereboar Loincloth
Wyrm Scale Legs	Wyrm Scale Legs
Earthbound Legs	Earthbound Legs
Emberbound Legs	Emberbound Legs
Frostbound Kilt	Frostbound Kilt
Alloy Legs	Alloy Legs
Hopper Legs	Hopper Legs
Arcane Sovereign Leg Piece	Arcane Sovereign Leg Piece
Legs Of Wisdom	Legs of Wisdom
Exotic Legs	Exotic Legs
Jungle Survivor Legs	Jungle Survivor Legs
Trench Ocrea	Trench Ocrea
Bast Legs	Bast Legs
Coral Legs	Coral Legs
Iridescent Legs	Iridescent Legs
Spiritful Legs	Spiritful Legs
Chiseled Legs	Chiseled Legs
Tinker Legs	Tinker Legs
Jade Legs	Jade Legs
Fabulous Legs	Fabulous Legs
Vampiric Fleshguards	Vampiric Fleshguards
Nightwoven Sarong	Nightwoven Sarong
Occult Breeches	Occult Breeches
Stoic Tribal Culet	Stoic Tribal Culet
Crimson Trousers	Crimson Trousers
Stoic Tribal Faulds	Stoic Tribal Faulds
Stitched Mutant Hide Legs	Stitched Mutant Hide Legs
Vampiric Bloodstrider	Vampiric Bloodstrider
Vampiric Thornwraps	Vampiric Thornwraps
Warped Hide Legs	Warped Hide Legs
Mutant Bone Kilt	Mutant Bone Kilt
Mutant Hide Trousers	Mutant Hide Trousers
Raptorial Greaves	Raptorial Greaves
Solarflare Pantaloons	Solarflare Pantaloons
Antler Legs	Antler Legs
Spirit Strider	Spirit Strider
Spiritshanks	Spiritshanks
Crimson Greaves	Crimson Greaves
Crimson Legs	Crimson Legs
Stoic Tribal Faulds	Stoic Tribal Faulds
Stitched Mutant Hide Legs	Stitched Mutant Hide Legs
Vampiric Bloodstrider	Vampiric Bloodstrider
Vampiric Thornwraps	Vampiric Thornwraps
Spiritshanks	Spiritshanks
Spirit Strider	Spirit Strider
Antler Legs	Antler Legs
Solarflare Pantaloons	Solarflare Pantaloons
Raptorial Greaves	Raptorial Greaves
Mutant Hide Trousers	Mutant Hide Trousers
Mutant Bone Kilt	Mutant Bone Kilt
Warped Hide Legs	Warped Hide Legs
Crimson Greaves	Crimson Greaves
Crimson Legs	Crimson Legs
Crimson Trousers	Crimson Trousers
Ancient Legwraps	Ancient Legwraps
Jade Warlord Knight	Jade Warlord Knight
Jade Warlord Pawn	Jade Warlord Pawn
Jade Warlord Queen	Jade Warlord Queen
Jade Warlord Rook	Jade Warlord Rook
Lamp	Lamp
Lit Breach Lamp	Lit Breach Lamp
Lit Candelabrum	Lit Candelabrum
Lit Crystal Lamp	Lit Crystal Lamp
Lit Glowing Mushroom	Lit Glowing Mushroom
Lit Rainbow Torch	Lit Rainbow Torch
Lit Torch	Lit Torch
Lit Torch Medium	Lit Torch (Medium)
Lit Torch Quest	Lit Torch (Quest)
Lit Torch Small	Lit Torch (Small)
Lit Torch Sparkling	Lit Torch (Sparkling)
Magic Light Wand	Magic Light Wand
Magic Light Wand Lit	Magic Light Wand (Lit)
Magical Torch	Magical Torch
Moon Mirror	Moon Mirror
Moonlight Ipomeas Stamen	Moonlight Ipomea's Stamen
Obsidian Warlord Bishop	Obsidian Warlord Bishop
Obsidian Warlord King	Obsidian Warlord King
Obsidian Warlord Knight	Obsidian Warlord Knight
Obsidian Warlord Pawn	Obsidian Warlord Pawn
Obsidian Warlord Queen	Obsidian Warlord Queen
Obsidian Warlord Rook	Obsidian Warlord Rook
Painted Torch	Painted Torch
Pumpkinhead	Pumpkinhead
Pumpkinhead Lit	Pumpkinhead (Lit)
Rainbow Torch	Rainbow Torch
Red Pit Fiend	Red Pit Fiend
Scarab Ocarina	Scarab Ocarina
Sea Heart Lantern	Sea Heart Lantern
Skull Candle	Skull Candle
Small Wyrm Tear	Small Wyrm Tear
Snow Globe	Snow Globe
Soulbound Lantern	Soulbound Lantern
Starlight Vial	Starlight Vial
Stone Of Wisdom	Stone of Wisdom
Storm Eye Lantern	Storm Eye Lantern
Strange Symbol	Strange Symbol
Sun Catcher	Sun Catcher
Sun Mirror	Sun Mirror
Table Lamp	Table Lamp
Torch	Torch
Torch Medium	Torch (Medium)
Torch Small	Torch (Small)
Trapped Lightning	Trapped Lightning
Shovel	Shovel
Rope	Rope
Pick	Pick
Fishing Rod	Fishing Rod
Worm	Worm
